EventID,DT,X,Y,Z,COA,COA_NORM,GAU_X,GAU_Y,GAU_Z,GAU_ErrX,GAU_ErrY,GAU_ErrZ,COV_ErrX,COV_ErrY,COV_ErrZ,COV_Err_XYZ,TRIG_COA,DEC_COA,DEC_COA_NORM,Label
20090120000141860,2009-01-20T00:01:41.908000Z,-83.954351,-78.150744,2.035,4.311,4.988,-83.954448,-78.151011,2.0269,0.2366,0.1037,0.0788,0.0675,0.1052,0.0503,0.0709,3.199,2.684,3.199,1
20090120000142548,2009-01-20T00:01:42.552000Z,-83.972878,-78.149755,1.995,5.249,6.173,-83.973023,-78.149666,1.9872,0.0715,0.119,0.1969,0.0587,0.0857,0.0371,0.0571,3.191,2.652,3.191,1
20090120000145804,2009-01-20T00:01:45.792000Z,-83.998918,-78.161301,1.955,5.422,6.299,-84.000776,-78.161665,1.9409,0.0689,0.2205,0.1775,0.4808,0.2731,0.1153,0.2474,3.886,3.228,3.886,1
20090120000148592,2009-01-20T00:01:48.612000Z,-84.012734,-78.168551,2,5.74,6.57,-84.015478,-78.168558,1.9909,0.0606,0.1417,0.1622,0.1388,0.417,0.1676,0.2133,3.654,3.129,3.654,1
20090120000156676,2009-01-20T00:01:56.692000Z,-83.905078,-78.158766,2.04,3.686,4.286,-83.904358,-78.158814,1.9885,0.5035,0.103,0.0851,0.0957,0.1712,0.1299,0.1286,3.229,2.705,3.229,1
20090120000201848,2009-01-20T00:02:01.828000Z,-83.811333,-78.119118,1.25,4.225,4.882,-83.811111,-78.119174,1.2658,0.0645,0.2285,0.2533,1.2069,1.924,0.2877,0.8742,3.505,2.952,3.505,0
20090120000205020,2009-01-20T00:02:05.048000Z,-84.026459,-78.1655,2.02,7.657,8.851,-84.026737,-78.165804,2.0048,0.0572,0.1347,0.156,0.0491,0.0679,0.0413,0.0516,3.026,2.525,3.026,1
20090120000212000,2009-01-20T00:02:11.972000Z,-83.959659,-78.16588,1.87,4.028,4.618,-83.958008,-78.166071,1.8631,0.0768,0.3283,0.2292,1.2574,2.0205,0.2304,0.8365,3.18,2.711,3.18,1
20090120000214868,2009-01-20T00:02:14.900000Z,-84.001663,-78.176214,1.905,14.28,16.27,-84.002322,-78.176063,1.9168,0.0675,0.1177,0.2019,0.0294,0.0518,0.046,0.0412,6.262,5.341,6.262,1
20090120000217208,2009-01-20T00:02:17.176000Z,-83.857022,-78.174213,1.635,4.775,5.505,-83.856804,-78.173883,1.6873,0.7782,0.1347,0.0921,0.115,0.1564,0.3019,0.1757,3.814,3.253,3.814,0.5
20090120000219448,2009-01-20T00:02:19.436000Z,-83.815903,-78.181011,1.605,6.82,7.865,-83.815846,-78.181338,1.5307,0.0747,0.0984,0.7628,0.0792,0.1113,0.2495,0.1301,4.256,3.59,4.256,0
20090120000220924,2009-01-20T00:02:20.940000Z,-83.980088,-78.184774,1.855,8.874,10.28,-83.980581,-78.184577,1.9166,0.0735,0.1067,0.3071,0.0371,0.0717,0.1018,0.0647,5.329,4.481,5.329,1
20090120000222768,2009-01-20T00:02:22.776000Z,-83.807289,-78.16417,1.745,6.691,7.883,-83.806259,-78.164059,1.781,0.32,0.1211,0.082,0.0647,0.0812,0.1202,0.0858,4.506,3.74,4.506,0.5
20090120000226052,2009-01-20T00:02:26.056000Z,-83.971791,-78.150158,1.97,5.053,5.903,-83.972335,-78.150262,1.9677,0.0689,0.1029,0.1869,0.054,0.0826,0.043,0.0576,3.419,2.848,3.419,1
20090120000229264,2009-01-20T00:02:29.224000Z,-83.881512,-78.160109,1.935,4.652,5.398,-83.881108,-78.160086,1.9211,0.4452,0.1027,0.1096,0.1945,0.2451,0.1519,0.1935,3.425,2.856,3.425,0
20090120000229692,2009-01-20T00:02:29.700000Z,-84.01269,-78.140516,1.915,8.185,9.745,-84.013264,-78.140756,1.9384,0.0649,0.1027,0.1779,0.0417,0.0627,0.0435,0.0485,4.611,3.769,4.611,1
20090120000240156,2009-01-20T00:02:40.176000Z,-84.012298,-78.168551,2,8.172,9.715,-84.014373,-78.168432,1.9833,0.0662,0.1468,0.1783,0.0342,0.062,0.0362,0.0425,4.443,3.639,4.443,1
20090120000246360,2009-01-20T00:02:46.380000Z,-83.951522,-78.151954,2.03,4.538,5.214,-83.952329,-78.151477,2.0104,0.2318,0.0918,0.1175,0.0635,0.1008,0.0539,0.0701,3.425,2.921,3.425,1
20090120000302080,2009-01-20T00:03:02.084000Z,-84.018125,-78.139395,1.955,14.95,17.75,-84.017567,-78.139704,1.9552,0.1869,0.1071,0.0725,0.0403,0.0523,0.0443,0.0454,5.946,4.825,5.946,1
20090120000308532,2009-01-20T00:03:08.552000Z,-83.742274,-78.145063,1,3.603,4.057,-83.860929,-78.172638,1.9363,0.0793,0.1188,0.7473,2.1114,1.5324,0.4023,1.0919,3.171,2.751,3.171,0
20090120000312488,2009-01-20T00:03:12.508000Z,-83.806851,-78.164393,1.84,7.275,8.325,-83.807022,-78.16455,1.7544,0.2869,0.1088,0.0951,0.0504,0.0765,0.1241,0.0782,4.341,3.708,4.341,1
20090120000316108,2009-01-20T00:03:16.128000Z,-84.012297,-78.168507,2,6.882,7.9,-84.011343,-78.167519,2.0195,0.1119,0.1865,0.0647,0.054,0.1053,0.0482,0.0649,3.842,3.226,3.842,1
20090120000317204,2009-01-20T00:03:17.220000Z,-83.980306,-78.184685,1.85,9.659,11.34,-83.981907,-78.184385,1.9402,0.0711,0.1033,0.2538,0.0328,0.0677,0.0889,0.0582,5.616,4.626,5.616,1
20090120000325100,2009-01-20T00:03:25.116000Z,-83.970698,-78.1498,1.945,7.21,8.349,-83.970953,-78.149827,1.9299,0.0662,0.1132,0.1763,0.036,0.0551,0.036,0.0415,3.218,2.697,3.218,1
20090120000327972,2009-01-20T00:03:28.020000Z,-83.872382,-78.144792,1.94,4.252,4.89,-83.870446,-78.144212,1.9673,0.0619,0.1212,0.1982,0.066,0.0901,0.0515,0.0674,3.21,2.727,3.21,1
20090120000336468,2009-01-20T00:03:36.484000Z,-84.036535,-78.168496,2.195,6.567,7.712,-84.029368,-78.167012,2.2783,0.0594,0.2431,0.1874,0.1583,0.1612,0.0966,0.1351,4.08,3.347,4.08,1
20090120000339952,2009-01-20T00:03:39.968000Z,-84.004683,-78.171779,2.045,4.793,5.779,-84.005251,-78.171459,2.0396,0.0722,0.1761,0.2564,1.3026,0.5965,0.1898,0.5283,3.397,2.733,3.397,0.5
20090120000347000,2009-01-20T00:03:46.964000Z,-83.903767,-78.155228,2.25,4.169,4.788,-83.902018,-78.155919,2.2216,0.3301,0.1086,0.0864,0.1265,0.2793,0.2677,0.2115,3.278,2.76,3.278,1
20090120000347860,2009-01-20T00:03:47.856000Z,-84.013566,-78.141053,1.975,7.075,8.337,-84.014721,-78.140928,1.9945,0.0682,0.1116,0.196,0.0558,0.0763,0.0478,0.0588,3.844,3.156,3.844,1
20090120000348184,2009-01-20T00:03:48.208000Z,-83.830879,-78.123647,2.05,4.382,5.215,-83.834607,-78.122452,2.0352,0.0625,0.1303,0.3154,0.7794,1.1539,0.387,0.7034,3.569,2.916,3.569,0
20090120000350272,2009-01-20T00:03:50.292000Z,-84.013821,-78.168058,2,4.939,5.708,-84.014458,-78.168154,1.9987,0.06,0.1485,0.1894,0.0756,0.0946,0.0574,0.0743,3.445,2.897,3.445,1
20090120000402728,2009-01-20T00:04:02.768000Z,-83.763456,-78.16048,1.95,38.88,45.49,-83.764294,-78.160315,1.9301,0.0124,0.0316,0.0335,0.0216,0.039,0.0658,0.0382,8.902,7.175,8.902,1
20090120000406092,2009-01-20T00:04:06.064000Z,-83.804884,-78.164751,1.745,7.299,8.53,-83.803211,-78.165183,1.8186,0.0829,0.105,0.367,2.4681,0.8757,0.2083,0.7664,4.57,3.786,4.57,0
20090120000409628,2009-01-20T00:04:09.636000Z,-83.959883,-78.167045,1.875,4.671,5.482,-83.960473,-78.16742,1.8246,0.0732,0.1478,0.2223,0.0945,0.1058,0.1108,0.1035,3.491,2.903,3.491,1
20090120000411860,2009-01-20T00:04:11.888000Z,-83.980306,-78.184685,1.85,9.64,10.93,-83.980551,-78.184645,1.8372,0.0698,0.1162,0.266,0.0385,0.0786,0.1035,0.0679,5.054,4.317,5.054,1
20090120000413376,2009-01-20T00:04:13.400000Z,-84.028986,-78.136568,1.925,7.369,8.412,-84.029078,-78.136665,1.8984,0.2024,0.0959,0.0758,0.0429,0.0672,0.0614,0.0561,4.763,4.053,4.763,1
20090120000414912,2009-01-20T00:04:14.952000Z,-84.000912,-78.164928,1.91,4.439,5.137,-84.000379,-78.164619,1.9189,0.2095,0.0978,0.0733,0.0633,0.1149,0.0687,0.0794,3.473,2.922,3.473,0.5
20090120000416436,2009-01-20T00:04:16.448000Z,-83.999572,-78.161301,1.97,5.41,6.367,-83.999987,-78.161369,1.989,0.0743,0.1394,0.193,0.063,0.0723,0.0435,0.0583,3.694,3.054,3.694,1
20090120000423632,2009-01-20T00:04:23.680000Z,-83.925428,-78.1868,1.89,7.367,8.841,-83.92527,-78.186828,1.916,0.3801,0.0906,0.1013,1.1052,1.0277,0.1793,0.5883,4.673,3.791,4.673,0
20090120000428628,2009-01-20T00:04:28.648000Z,-84.016168,-78.139754,1.935,12.98,15.42,-84.016653,-78.139922,1.9321,0.071,0.1042,0.1597,0.0338,0.0453,0.0425,0.0402,4.362,3.737,4.362,1
