EventID,DT,X,Y,Z,COA,COA_NORM,GAU_X,GAU_Y,GAU_Z,GAU_ErrX,GAU_ErrY,GAU_ErrZ,COV_ErrX,COV_ErrY,COV_ErrZ,COV_Err_XYZ,TRIG_COA,DEC_COA,DEC_COA_NORM,Label
20090120000812816,2009-01-20T00:08:12.832000Z,-83.980526,-78.184819,1.86,7.794,9.047,-83.979345,-78.184868,1.8468,0.3305,0.1108,0.0807,0.0466,0.101,0.1506,0.0892,4.929,4.138,4.929,1
20090120000819440,2009-01-20T00:08:19.428000Z,-84.015084,-78.140336,1.985,5.391,6.185,-84.014665,-78.140271,1.9752,0.073,0.1301,0.239,0.0584,0.1004,0.0568,0.0693,3.587,3.03,3.587,1
20090120000824168,2009-01-20T00:08:24.204000Z,-83.798375,-78.160002,1.835,9.643,11.18,-83.798971,-78.159759,1.8101,0.2277,0.0847,0.0915,0.0459,0.0568,0.0704,0.0568,4.988,4.189,4.988,1
20090120000831460,2009-01-20T00:08:31.468000Z,-83.747165,-78.1203,2.23,3.899,4.518,-83.749464,-78.120783,2.2306,0.0124,0.0334,0.0337,2.6078,1.3807,0.3845,1.1146,3.359,2.81,3.359,0
20090120000834360,2009-01-20T00:08:34.404000Z,-84.014267,-78.168954,2.03,7.165,8.15,-84.014181,-78.169242,1.9898,0.1681,0.0953,0.0645,0.0399,0.0707,0.0443,0.05,3.624,3.086,3.624,1
20090120000836824,2009-01-20T00:08:36.856000Z,-83.925646,-78.186307,1.84,7.783,8.889,-83.92712,-78.18588,1.8512,0.0909,0.1159,0.372,0.0496,0.092,0.1728,0.0924,4.949,4.214,4.949,1
20090120000842380,2009-01-20T00:08:42.404000Z,-83.763238,-78.160524,1.955,34.89,41.71,-83.762971,-78.160756,1.914,0.2018,0.0865,0.0695,0.0328,0.0425,0.0653,0.045,8.228,6.558,8.228,1
20090120000846536,2009-01-20T00:08:46.572000Z,-84.024279,-78.165815,2.045,5.202,5.987,-84.023583,-78.165477,2.037,0.062,0.1417,0.1699,0.1239,0.3147,0.0484,0.1235,3.038,2.569,3.038,1
20090120000850424,2009-01-20T00:08:50.368000Z,-83.798543,-78.165913,1.905,6.147,7.093,-83.797225,-78.165831,1.9162,0.0745,0.1069,0.293,0.0916,0.1069,0.1804,0.1209,3.922,3.298,3.922,1
20090120000852024,2009-01-20T00:08:52.040000Z,-83.971789,-78.149934,1.93,5.32,6.264,-83.974219,-78.149904,1.9307,0.1897,0.104,0.0788,0.06,0.0806,0.0409,0.0583,3.427,2.85,3.427,1
20090120000859524,2009-01-20T00:08:59.552000Z,-83.980088,-78.184685,1.845,8.058,9.117,-83.98041,-78.184429,1.8526,0.0678,0.102,0.2437,0.0322,0.0653,0.0868,0.0567,4.772,4.134,4.772,1
20090120000902276,2009-01-20T00:09:02.284000Z,-83.806272,-78.15463,1.89,3.305,3.807,-83.80669,-78.154579,1.8934,0.0626,0.1115,0.2087,0.6929,1.1675,0.2865,0.6143,3.114,2.646,3.114,1
20090120000906388,2009-01-20T00:09:06.404000Z,-83.955004,-78.150431,1.995,16.94,19.74,-83.954487,-78.15083,1.967,0.1588,0.0725,0.0822,0.0245,0.0348,0.0371,0.0317,5.798,4.801,5.798,1
20090120000908120,2009-01-20T00:09:08.136000Z,-83.756766,-78.154207,1.515,3.339,3.867,-83.756602,-78.15445,1.4613,0.0622,0.1688,0.521,1.0957,2.0428,0.3571,0.9281,3.043,2.574,3.043,0
20090120000909896,2009-01-20T00:09:09.908000Z,-83.959415,-78.160775,1.9,3.969,4.505,-83.960427,-78.160394,1.9284,0.2433,0.1016,0.08,0.4583,0.2942,0.3962,0.3766,3.142,2.69,3.142,1
20090120000910628,2009-01-20T00:09:10.628000Z,-83.872378,-78.146628,2.365,3.85,4.462,-83.868356,-78.147787,2.335,0.0023,0.0966,0.2121,0.834,0.8522,0.3681,0.6396,3.313,2.777,3.313,0
20090120000911496,2009-01-20T00:09:11.532000Z,-84.012516,-78.168596,1.99,5.584,6.404,-84.013527,-78.167841,2.0039,0.1264,0.2162,0.0696,0.0485,0.0912,0.0488,0.06,3.672,3.122,3.672,1
20090120000920036,2009-01-20T00:09:20.072000Z,-83.809641,-78.141689,1.925,4.557,5.31,-83.812798,-78.14152,1.943,0.0674,0.2368,0.1651,0.1053,0.0861,0.0617,0.0824,3.704,3.1,3.704,1
20090120000927448,2009-01-20T00:09:27.464000Z,-83.935934,-78.18962,1.9,4.829,5.8,-83.937174,-78.18874,1.903,0.0036,0.0061,0.0119,0.4898,3.3753,0.3465,0.8305,4.014,3.257,4.014,0.5
20090120000931180,2009-01-20T00:09:31.188000Z,-84.014427,-78.139978,1.915,6.988,8.076,-84.014402,-78.140642,1.9409,0.1705,0.093,0.0683,0.0468,0.0681,0.0441,0.052,4.589,3.869,4.589,1
20090120000938412,2009-01-20T00:09:38.432000Z,-83.727383,-78.165163,1.725,4.173,4.807,-83.72572,-78.164973,1.6886,0.0628,0.1297,0.4315,1.1759,2.0487,0.4168,1.0014,3.136,2.654,3.136,0.5
20090120000941640,2009-01-20T00:09:41.664000Z,-83.980529,-78.185267,1.85,6.541,7.422,-83.98086,-78.185224,1.8388,0.0748,0.1129,0.3369,0.0546,0.0917,0.1419,0.0892,4.647,3.987,4.647,1
20090120000944344,2009-01-20T00:09:44.364000Z,-83.985747,-78.150557,1.85,4.693,5.359,-83.985962,-78.150663,1.844,0.0694,0.1138,0.171,0.3168,1.0439,0.2701,0.447,3.41,2.895,3.41,1
20090120000944776,2009-01-20T00:09:44.804000Z,-83.928047,-78.18456,1.81,7.162,8.214,-83.927424,-78.184443,1.8445,0.3959,0.0937,0.0833,0.0713,0.1379,0.2864,0.1413,5.107,4.327,5.107,0.5
20090120000949292,2009-01-20T00:09:49.332000Z,-84.039208,-78.154209,2.01,3.178,3.604,-84.040902,-78.154161,2.0113,0.1878,0.124,0.0712,1.0579,0.1939,0.0651,0.2372,3.025,2.59,3.025,1
20090120000952976,2009-01-20T00:09:52.952000Z,-83.877367,-78.159392,1.675,4.274,4.893,-83.878332,-78.159576,1.7055,0.1032,0.1611,0.5337,0.2499,0.491,0.3535,0.3514,3.15,2.683,3.15,1
20090120000955560,2009-01-20T00:09:55.588000Z,-83.803571,-78.165109,1.805,6.375,7.515,-83.8039,-78.165314,1.7722,0.008,0.029,0.0224,0.0922,0.1248,0.1409,0.1175,4.027,3.332,4.027,1
20090120001001404,2009-01-20T00:10:01.388000Z,-84.016822,-78.139843,1.985,11.16,13.25,-84.017136,-78.139848,1.9713,0.0686,0.0944,0.1748,0.0415,0.0609,0.0482,0.0496,5.257,4.3,5.257,1
20090120001004532,2009-01-20T00:10:04.544000Z,-84.02559,-78.165948,2.03,6.755,7.585,-84.027141,-78.165555,2.02,0.063,0.1444,0.1642,0.0562,0.0711,0.0419,0.0551,3.293,2.834,3.293,1
20090120001009608,2009-01-20T00:10:09.620000Z,-83.974843,-78.150202,1.95,6.221,7.157,-83.975145,-78.150044,1.9375,0.0777,0.1128,0.1819,0.0571,0.0674,0.0375,0.0525,3.287,2.774,3.287,1
20090120001013824,2009-01-20T00:10:13.856000Z,-83.817772,-78.163456,1.75,4.735,5.44,-83.81797,-78.163432,1.7494,0.0698,0.1265,0.3032,0.0817,0.1064,0.1498,0.1092,3.739,3.174,3.739,1
20090120001023384,2009-01-20T00:10:23.364000Z,-84.005855,-78.156104,1.305,3.206,3.741,-84.007211,-78.155963,1.2822,0.066,0.214,0.1044,2.2974,1.0925,0.4502,1.0416,3.125,2.611,3.125,0
