EventID,DT,X,Y,Z,COA,COA_NORM,GAU_X,GAU_Y,GAU_Z,GAU_ErrX,GAU_ErrY,GAU_ErrZ,COV_ErrX,COV_ErrY,COV_ErrZ,COV_Err_XYZ,TRIG_COA,DEC_COA,DEC_COA_NORM
20090120000347860,2009-01-20T00:03:47.856000Z,-84.013566,-78.141053,1.975,7.075,8.337,-84.014721,-78.140928,1.9945,0.0682,0.1116,0.196,0.0558,0.0763,0.0478,0.0588,3.844,3.156,3.844
20090120000402728,2009-01-20T00:04:02.768000Z,-83.763456,-78.16048,1.95,38.88,45.49,-83.764294,-78.160315,1.9301,0.0124,0.0316,0.0335,0.0216,0.039,0.0658,0.0382,8.902,7.175,8.902
20090120000411860,2009-01-20T00:04:11.888000Z,-83.980306,-78.184685,1.85,9.64,10.93,-83.980551,-78.184645,1.8372,0.0698,0.1162,0.266,0.0385,0.0786,0.1035,0.0679,5.054,4.317,5.054
20090120000413376,2009-01-20T00:04:13.400000Z,-84.028986,-78.136568,1.925,7.369,8.412,-84.029078,-78.136665,1.8984,0.2024,0.0959,0.0758,0.0429,0.0672,0.0614,0.0561,4.763,4.053,4.763
20090120000428628,2009-01-20T00:04:28.648000Z,-84.016168,-78.139754,1.935,12.98,15.42,-84.016653,-78.139922,1.9321,0.071,0.1042,0.1597,0.0338,0.0453,0.0425,0.0402,4.362,3.737,4.362
20090120000442820,2009-01-20T00:04:42.844000Z,-84.01186,-78.168417,2.0,6.411,7.426,-84.012895,-78.168232,1.9995,0.184,0.1125,0.0712,0.0518,0.0729,0.0415,0.0539,4.176,3.484,4.176
20090120000458572,2009-01-20T00:04:58.592000Z,-84.001884,-78.176572,1.925,10.5,12.11,-84.003309,-78.176143,1.9253,0.0761,0.1022,0.2117,0.0314,0.0589,0.047,0.0443,5.183,4.347,5.183
20090120000502908,2009-01-20T00:05:02.912000Z,-84.014648,-78.140336,1.995,6.164,7.25,-84.014604,-78.14039,2.0034,0.1889,0.106,0.0714,0.0443,0.07,0.0416,0.0505,3.705,3.059,3.705
20090120000503744,2009-01-20T00:05:03.780000Z,-83.980959,-78.184192,1.895,8.31,9.823,-83.981305,-78.184099,1.8815,0.2336,0.1031,0.0792,0.0301,0.068,0.0738,0.0533,4.734,3.906,4.734
20090120000510712,2009-01-20T00:05:10.744000Z,-83.902897,-78.162169,1.82,6.735,7.615,-83.903827,-78.161749,1.8165,0.2373,0.0829,0.0809,0.058,0.0778,0.0894,0.0739,4.679,4.045,4.679
20090120000539200,2009-01-20T00:05:39.228000Z,-83.805102,-78.164706,1.76,9.688,11.44,-83.804061,-78.164495,1.7875,0.2349,0.0966,0.0886,0.0391,0.058,0.0879,0.0584,5.278,4.348,5.278
20090120000552256,2009-01-20T00:05:52.284000Z,-83.822022,-78.147514,1.97,10.55,12.3,-83.821641,-78.147105,1.983,0.182,0.1055,0.0697,0.0424,0.0599,0.0446,0.0484,4.948,4.118,4.948
20090120000607504,2009-01-20T00:06:07.500000Z,-84.026892,-78.165187,1.955,6.111,7.192,-84.028228,-78.165128,1.9042,0.0623,0.1504,0.1639,0.0756,0.0926,0.0477,0.0694,4.032,3.328,4.032
20090120000612764,2009-01-20T00:06:12.788000Z,-84.002103,-78.176572,1.92,8.939,10.08,-84.003239,-78.176112,1.9482,0.0706,0.1202,0.2136,0.0432,0.0625,0.0572,0.0537,4.925,4.253,4.925
20090120000617588,2009-01-20T00:06:17.568000Z,-84.019647,-78.13908,2.02,15.51,18.06,-84.018748,-78.139644,2.0131,0.1584,0.0928,0.0743,0.0392,0.0533,0.0414,0.0442,5.709,4.728,5.709
20090120000623132,2009-01-20T00:06:23.172000Z,-83.858307,-78.118815,2.035,6.695,7.858,-83.858562,-78.118769,2.0145,0.1455,0.2078,0.0713,0.0534,0.0934,0.0543,0.0647,4.278,3.509,4.278
20090120000629448,2009-01-20T00:06:29.464000Z,-83.806195,-78.164528,1.755,9.376,10.77,-83.80597,-78.164499,1.7406,0.2107,0.098,0.0892,0.0474,0.0546,0.0847,0.0603,5.028,4.263,5.028
20090120000639756,2009-01-20T00:06:39.792000Z,-83.763234,-78.160883,1.85,50.94,58.16,-83.764327,-78.160326,1.9296,0.0124,0.0313,0.0333,0.0314,0.0437,0.0622,0.044,7.892,6.502,7.892
20090120000641988,2009-01-20T00:06:42.004000Z,-83.980088,-78.184774,1.85,8.722,10.03,-83.981368,-78.184806,1.8789,0.0728,0.1045,0.2428,0.0426,0.0719,0.1011,0.0677,4.78,4.055,4.78
20090120000649400,2009-01-20T00:06:49.424000Z,-83.973751,-78.149889,1.98,5.964,6.84,-83.973425,-78.150104,1.9659,0.1744,0.0946,0.0783,0.0471,0.064,0.0458,0.0517,3.746,3.169,3.746
20090120000658040,2009-01-20T00:06:58.064000Z,-83.924773,-78.187471,1.86,6.159,6.939,-83.925096,-78.187263,1.842,0.3271,0.1043,0.0901,0.0532,0.0978,0.1815,0.0981,3.884,3.346,3.884
