EventID,DT,X,Y,Z,COA,COA_NORM,GAU_X,GAU_Y,GAU_Z,GAU_ErrX,GAU_ErrY,GAU_ErrZ,COV_ErrX,COV_ErrY,COV_ErrZ,COV_Err_XYZ,TRIG_COA,DEC_COA,DEC_COA_NORM,GlobalCovarianceProduct,GlobalCovarianceGeometricMean
20090120170611700,2009-01-20T17:06:11.716000Z,-83.970917,-78.149845,1.935,10.22,12.32,-83.971805,-78.149815,1.9239,0.0698,0.1175,0.1654,0.0371,0.0463,0.0358,0.0395,4.38,3.489,4.38,6.1494734e-05,0.03947110721597024
20090120025348176,2009-01-20T02:53:48.204000Z,-83.8665,-78.14394,1.94,6.469,7.547,-83.867991,-78.143766,1.924,0.1632,0.0831,0.0632,0.0464,0.0708,0.0373,0.0497,3.78,3.149,3.78,0.000122534976,0.04966914567049735
20090120200546956,2009-01-20T20:05:46.976000Z,-84.012734,-78.168551,1.995,15.15,18.07,-84.014959,-78.168572,1.9788,0.061,0.1076,0.1556,0.0249,0.0499,0.0338,0.0348,5.691,4.54,5.691,4.199683799999999e-05,0.03475939410980979
20090120224426452,2009-01-20T22:44:26.456000Z,-83.90966,-78.159169,1.85,5.963,7.02,-83.911028,-78.158845,1.8451,0.2737,0.0854,0.0984,0.0567,0.093,0.0913,0.0784,3.479,2.897,3.479,0.00048143403000000003,0.07837524804756552
20090120122524756,2009-01-20T12:25:24.792000Z,-83.763233,-78.160927,1.845,39.04,44.11,-83.764273,-78.160752,1.8811,0.0124,0.0314,0.0335,0.0198,0.0397,0.0704,0.0381,8.417,7.095,8.417,5.533862400000001e-05,0.0381074117062449
20090120024418524,2009-01-20T02:44:18.548000Z,-84.012252,-78.140337,1.905,11.44,13.71,-84.012849,-78.140388,1.9266,0.0645,0.1083,0.1758,0.0437,0.0581,0.0382,0.046,5.648,4.533,5.648,9.6988654e-05,0.045945217392549954
20090120213500164,2009-01-20T21:35:00.184000Z,-84.012298,-78.168551,2.0,18.89,22.14,-84.013087,-78.168558,1.9872,0.0648,0.1017,0.148,0.0313,0.0386,0.0372,0.0356,6.683,5.494,6.683,4.4944296e-05,0.035554250452674165
20090120053741720,2009-01-20T05:37:41.752000Z,-84.024934,-78.165814,2.04,11.97,13.67,-84.026327,-78.165765,2.0139,0.1489,0.159,0.0631,0.0526,0.0551,0.0408,0.0491,4.326,3.654,4.326,0.00011824900800000002,0.04908315852698332
20090120065143984,2009-01-20T06:51:43.976000Z,-84.014432,-78.140516,1.99,7.541,8.81,-84.014687,-78.140791,1.9965,0.2117,0.1057,0.0641,0.0473,0.0841,0.0533,0.0596,3.884,3.202,3.884,0.00021202366900000002,0.059629538549933025
20090120123608332,2009-01-20T12:36:08.356000Z,-84.002973,-78.176124,1.945,10.21,11.88,-84.004102,-78.175496,1.9614,0.2414,0.1091,0.0769,0.0483,0.0926,0.0722,0.0686,5.158,4.238,5.158,0.000322920276,0.06860647486533346
20090120201909464,2009-01-20T20:19:09.480000Z,-84.025156,-78.166173,2.055,7.274,8.219,-84.027279,-78.166081,2.0467,0.0621,0.173,0.1691,0.0707,0.0651,0.0415,0.0576,3.592,3.083,3.592,0.00019100665500000003,0.05759032106126647
20090120095226248,2009-01-20T09:52:26.276000Z,-84.023616,-78.165054,2.04,5.436,6.297,-84.027773,-78.165174,2.0228,0.1937,0.1366,0.0627,0.0775,0.0797,0.0483,0.0668,3.396,2.825,3.396,0.000298337025,0.066819371271932
20090120111604148,2009-01-20T11:16:04.180000Z,-84.025591,-78.165993,2.045,21.62,24.84,-84.027703,-78.16611,1.9956,0.0603,0.1155,0.1412,0.033,0.0329,0.025,0.0301,5.528,4.518,5.528,2.71425e-05,0.030052685199274107
20090120221716748,2009-01-20T22:17:16.764000Z,-84.04878,-78.169834,2.13,6.366,7.365,-84.048467,-78.169811,2.111,0.0589,0.1731,0.1843,0.0818,0.0831,0.0562,0.0726,3.509,2.942,3.509,0.000382023996,0.07255993433199877
20090120040730580,2009-01-20T04:07:30.600000Z,-84.016384,-78.13953,1.9,11.04,13.02,-84.015724,-78.139669,1.8927,0.1115,0.1733,0.0713,0.0368,0.0527,0.0532,0.0469,4.848,3.98,4.848,0.00010317395199999999,0.046901855255508634
20090120182111272,2009-01-20T18:21:11.272000Z,-84.018122,-78.139126,1.95,8.535,9.661,-84.017181,-78.139666,1.9473,0.2098,0.1011,0.0749,0.0451,0.0726,0.0497,0.0546,4.349,3.751,4.349,0.00016273072200000002,0.054595458436938256
20090120063050140,2009-01-20T06:30:50.160000Z,-84.012078,-78.168372,1.99,9.881,11.31,-84.010863,-78.167616,2.0086,0.0655,0.16,0.1924,0.0767,0.0959,0.0486,0.071,4.164,3.506,4.164,0.000357478758,0.07097140672352076
20090120220138924,2009-01-20T22:01:38.940000Z,-84.022303,-78.164741,2.035,11.4,13.16,-84.023851,-78.164677,2.0161,0.0599,0.1327,0.1464,0.0486,0.0569,0.0346,0.0457,3.782,3.176,3.782,9.568076399999999e-05,0.04573775861681487
