# Einarsson, P. and Saemundsson, K., 1987. Earthquake epicenters 1982-1985 and volcanic systems in Iceland. Menningarsjódur.  &  Sæmundsson, K., 1979. Outline of the geology of Iceland. Jökull, 29, pp.7-28.
-19.6432938100,63.8340057500
-19.6736720100,63.8339582100
-19.7164660100,63.8312717800
-19.7479401100,63.8275544200
-19.7855736600,63.8208587400
-19.8208578000,63.8143327700
-19.8495583900,63.8099035300
-19.8743591400,63.8054804900
-19.9185943400,63.8006383500
-19.9561834600,63.7951112800
-19.9984542800,63.7905976500
-20.0391620800,63.7862513600
-20.0744033700,63.7815704500
-20.1053401200,63.7763796400
-20.1351465800,63.7725784300
-20.1544100700,63.7676092500
-20.1721497700,63.7636888200
-20.1813372100,63.7598130500
-20.1909230100,63.7562821800
-20.1938911800,63.7524397500
-20.1878320300,63.7460386100
-20.1747634800,63.7389795300
-20.1652871300,63.7345085900
-20.1457670200,63.7313070300
-20.1124116300,63.7319982900
-20.0654072300,63.7306574300
-20.0171940300,63.7275656700
-19.9639656400,63.7249974000
-19.9106521100,63.7185810300
-19.8682474000,63.7131530800
-19.8185238200,63.7089491900
-19.7696145400,63.7057683000
-19.7296186200,63.7018552300
-19.6663948100,63.6983164300
-19.6338254200,63.6967978800
-19.5598299000,63.6968754500
-19.5245780100,63.6970718000
-19.4998068100,63.6993438000
-19.4796896200,63.7024805000
-19.4607636200,63.7096158900
-19.4441545400,63.7169225800
-19.4283247900,63.7259669600
-19.4140311000,63.7343137100
-19.3989555000,63.7431801900
-19.3897025700,63.7537871300
-19.3831682300,63.7657858600
-19.3816757200,63.7770905700
-19.3860142600,63.7887455000
-19.3922836500,63.7972700100
-19.4047818200,63.8059700200
-19.4122169900,63.8127541700
-19.4290004900,63.8200610400
-19.4414819200,63.8235400100
-19.4535842500,63.8278870500
-19.4785174500,63.8296226700
-19.5151235000,63.8301314000
-19.5521290100,63.8313251800
-19.5871984000,63.8330322300
-19.6101918600,63.8342235200
-19.6432938100,63.8340057500
