# Einarsson, P. and Saemundsson, K., 1987. Earthquake epicenters 1982-1985 and volcanic systems in Iceland. Menningarsjódur.  &  Sæmundsson, K., 1979. Outline of the geology of Iceland. Jökull, 29, pp.7-28.
-16.4880000000,66.2130000000
-16.5020000000,66.2030000000
-16.5190000000,66.1950000000
-16.5380000000,66.1900000000
-16.5590000000,66.1840000000
-16.5680000000,66.1770000000
-16.6100000000,66.1350000000
-16.6430000000,66.0970000000
-16.6630000000,66.0620000000
-16.6810000000,66.0310000000
-16.6970000000,66.0050000000
-16.7120000000,65.9700000000
-16.7400000000,65.9310000000
-16.7660000000,65.8930000000
-16.7810000000,65.8760000000
-16.7950000000,65.8570000000
-16.8050000000,65.8410000000
-16.8240000000,65.8250000000
-16.8580000000,65.7880000000
-16.8820000000,65.7580000000
-16.9120000000,65.7280000000
-16.9400000000,65.7020000000
-16.9630000000,65.6760000000
-16.9740000000,65.6550000000
-16.9810000000,65.6330000000
-16.9860000000,65.6110000000
-16.9930000000,65.5900000000
-17.0030000000,65.5630000000
-17.0090000000,65.5460000000
-17.0200000000,65.5340000000
-17.0350000000,65.5180000000
-17.0460000000,65.5000000000
-17.0600000000,65.4830000000
-17.0640000000,65.4750000000
-17.0650000000,65.4640000000
-17.0660000000,65.4510000000
-17.0710000000,65.4370000000
-17.0740000000,65.4240000000
-17.0800000000,65.4150000000
-17.0620000000,65.3970000000
-17.0450000000,65.3790000000
-17.0290000000,65.3650000000
-17.0100000000,65.3520000000
-16.9770000000,65.3360000000
-16.9380000000,65.3180000000
-16.9160000000,65.3570000000
-16.8930000000,65.4050000000
-16.8490000000,65.4710000000
-16.8220000000,65.5180000000
-16.8050000000,65.5440000000
-16.7900000000,65.5720000000
-16.7650000000,65.6000000000
-16.7500000000,65.6310000000
-16.7350000000,65.6600000000
-16.7230000000,65.6900000000
-16.7010000000,65.7240000000
-16.6760000000,65.7570000000
-16.6610000000,65.7830000000
-16.6520000000,65.8130000000
-16.6360000000,65.8490000000
-16.6180000000,65.8860000000
-16.6010000000,65.9200000000
-16.5880000000,65.9500000000
-16.5790000000,65.9770000000
-16.5650000000,66.0150000000
-16.5590000000,66.0450000000
-16.5450000000,66.0740000000
-16.5260000000,66.1120000000
-16.5110000000,66.1390000000
-16.4970000000,66.1670000000
-16.4910000000,66.1870000000
-16.4880000000,66.1990000000
-16.4850000000,66.2040000000
-16.4880000000,66.2130000000
